StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,2_4,2_5,3_1,3_2,3_3,3_4,3_5,4_1,4_2,4_3,4_4,4_5,5_1,5_2,5_3,5_4,5_5,6_1,6_2,6_3,6_4,6_5,7_1,7_2,7_3,7_4,7_5,8_1,8_2,8_3,8_4,8_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please enter the following information: - Name,Please enter the following information: - IU Username,Page 1 of 6 - Please respond to the following statements. - You thrive in crowded social environments.,"Page 1 of 6 - Please respond to the following statements. - You are a deep thinker, contemplating the bounds of the realm of possibility.",Page 1 of 6 - Please respond to the following statements. - You dwell on the past rather than look to the future.,Page 1 of 6 - Please respond to the following statements. - You are more pragmatic than theoretical.,"Page 1 of 6 - Please respond to the following statements. - You have a set of rules that gets you through life, and you stick to them.",Page 2 of 6 - Please respond to the following statements. - You feel more comfortable at the edges of a crowded room.,Page 2 of 6 - Please respond to the following statements. - You think people driven by emotions are impulsive.,Page 2 of 6 - Please respond to the following statements. - You keep your composure under a lot of pressure.,Page 2 of 6 - Please respond to the following statements. - You insert yourself in conversations without hesitation.,Page 2 of 6 - Please respond to the following statements. - You have a personal set of goals and aspirations to which you strictly adhere.,Page 3 of 6 - Please respond to the following statements. - You prefer things that are familiar over things that are new.,"Page 3 of 6 - Please respond to the following statements. - You enjoy deep, intellectual conversation.",Page 3 of 6 - Please respond to the following statements. - You prefer to study alone rather than with a group.,Page 3 of 6 - Please respond to the following statements. - You find it stimulating to debate a point with someone else.,"Page 3 of 6 - Please respond to the following statements. - You are spontaneous, making decisions suddenly.","Page 4 of 6 - Please respond to the following statements. - You enjoy movies, TV shows, and music with cerebral and philosophical undertones.",Page 4 of 6 - Please respond to the following statements. - You know exactly what you want your college experience to be like.,Page 4 of 6 - Please respond to the following statements. - You prefer to live in the present rather than contemplate the future.,Page 4 of 6 - Please respond to the following statements. - You usually start the conversation rather than wait for someone else.,Page 4 of 6 - Please respond to the following statements. - You feel comfortable changing the plan at a moment's notice.,Page 5 of 6 - Please respond to the following statements. - You regularly take time to consider all the things that led you to this moment.,Page 5 of 6 - Please respond to the following statements. - You have a clear understanding of what you want for a career.,Page 5 of 6 - Please respond to the following statements. - You find regular social interaction tiresome.,"Page 5 of 6 - Please respond to the following statements. - You don't get distracted by what ""could be"" and stick to what ""is"".",Page 5 of 6 - Please respond to the following statements. - You feel like taking breaks will cause you to fall behind.,"Page 6 of 6 - Please respond to the following statements. - You believe the best kind of ""party"" is in a game of Dungeons and Dragons.","Page 6 of 6 - Please respond to the following statements. - You believe a promise is a promise, regardless of circumstance.",Page 6 of 6 - Please respond to the following statements. - You want to explore every part of IU's campus before you graduate.,Page 6 of 6 - Please respond to the following statements. - You want to spend your free time getting involved in clubs and student organizations.,Page 6 of 6 - Please respond to the following statements. - You want to be heavily involved in student research.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_4""}","{""ImportId"":""QID4_5""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID6_3""}","{""ImportId"":""QID6_4""}","{""ImportId"":""QID6_5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}"
6/1/20 16:45,6/1/20 16:47,IP Address,,100,115,TRUE,6/1/20 16:47,R_1FkNy8IpZIfWKDk,,,,,,,anonymous,EN,Geralt of Rivia,grivia,2,5.6,6.7,2.3,6.6,2.8,7.2,8.8,2.2,5.3,0.8,2,7.5,3.8,6.7,9.6,1.6,7.4,3,7.1,1.8,2,7.3,5.7,2.7,7.4,8.4,1.6,3.6,7
6/1/20 16:47,6/1/20 16:49,IP Address,,100,100,TRUE,6/1/20 16:49,R_3lM6hJndujmru9a,,,,,,,anonymous,EN,Yennefer of Vengerberg,yvenger,6.3,8.3,2.9,1.8,7.1,2.1,2.5,2.3,2.3,2.8,7.8,7.5,6.7,8.2,9.1,2,8.1,4.6,2.2,6.6,2.7,9,8.1,2.4,3.9,7.3,1.4,7,3.7,2.3
6/1/20 16:49,6/1/20 16:51,IP Address,,100,95,TRUE,6/1/20 16:51,R_25QiDNETZENDPFP,,,,,,,anonymous,EN,Dandelion,dandeli,7.9,6.6,10,1.1,10,1.6,6,7.7,3.3,9.5,3.8,2.6,8.1,3.9,0.1,8.1,6.3,8.2,8.9,10,2,5.9,7.5,3,4.8,9.7,7.8,9.2,1.9,0
6/1/20 16:51,6/1/20 16:53,IP Address,,100,151,TRUE,6/1/20 16:53,R_2wcc7lhdoIZLqmU,,,,,,,anonymous,EN,King Foltest,foltest,3.9,7.3,6.3,2.4,9.6,3.4,1.3,6.4,4.4,8.5,7.6,9.7,2,3.8,6.4,3.1,2.3,4.2,6,8,7.9,2.3,2.7,7,9.3,6.3,7.7,8.8,2.7,6.7
6/1/20 16:53,6/1/20 16:54,IP Address,,100,68,TRUE,6/1/20 16:54,R_Ug5ftYsTiMKGN0t,,,,,,,anonymous,EN,Triss Merigold,tmerigold,7,8.1,2.5,7.3,3.3,7.6,7.7,6.9,3.4,0.2,6.9,9.2,2.8,0,0.6,2,3.6,6.9,3.2,1.8,8.1,5.6,3.5,2.1,8.8,7.3,2.2,1.5,0.6,7.7
6/1/20 16:55,6/1/20 16:57,IP Address,,100,122,TRUE,6/1/20 16:57,R_1LUbD8aIgxXyBj1,,,,,,,anonymous,EN,Mousesack,mousesa,1.3,2.4,7,4.6,10,7,5.8,8.8,6.2,9.1,7.5,5.7,8.3,7.1,9.9,8.1,6.5,7.5,4.1,7.9,5.1,5.1,5,5.1,5.1,5,5,5.2,4.9,6.7
6/2/20 10:54,6/2/20 10:58,IP Address,,100,216,TRUE,6/2/20 10:58,R_1N3ndNAr973eCMx,,,,,,,anonymous,EN,Chicken Jim,chickj,7.2,9.4,5.8,6.8,0,6.5,6.5,6.4,6.5,6.5,6.8,6.9,6.9,6.9,7,6.8,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9,6.9
6/2/20 11:00,6/2/20 11:02,IP Address,,100,80,TRUE,6/2/20 11:02,R_3DqJxwljPCYyv9f,,,,,,,anonymous,EN,Johnny Depp,deppj,5,4.7,4.4,4.3,4.2,4.1,3.7,3.2,2.8,2.6,2.2,1.8,1.5,1.2,0.9,0.7,0.5,0.2,0.1,0,1.8,1.5,1,0.5,0,2.6,2,1.5,1,0.1
